sha,message,author,date
7289a38e342231e1012754a94efd9763fa188bcf,Merge pull request #299 from CoinbaseStablecoin/rescuable,Erik Tierney,2020-05-27T13:57:13Z
00258ccf36e25bce6e0f62946d255d00160e3164,Add rescuable to storage slot test,Peter Jihoon Kim,2020-05-26T20:18:25Z
5f9f51f658a9ae1717cf0b2c1152e6181e3d7e60,Run all V1 tests for V1.1,Peter Jihoon Kim,2020-05-16T01:07:14Z
3e2d1dcd18cb1b6a5615e71473dc2fb55a4b7073,Implement Rescuable and rescueERC20 function,Peter Jihoon Kim,2020-05-16T01:07:12Z
8aa0ddf1e172cc8f8d0cb31bed0285338626c6bf,Merge pull request #296 from CoinbaseStablecoin/modernize-codebase,Erik Tierney,2020-05-22T19:48:50Z
283eca99bec3642b56c01d1f33b73fc5472e1a14,Update notes in forked contracts,Peter Jihoon Kim,2020-05-19T17:40:19Z
fdafe06ecb4082577426e6f821726fdada954170,Ensure locally installed prettier is used to format Solidity code,Peter Jihoon Kim,2020-05-16T01:07:11Z
23a0a2d04dc5527ca7d1c77eb705b7463f7a6a93,Add SPDX license identifier,Peter Jihoon Kim,2020-05-16T01:07:09Z
4c42934a9e30da94fba65eb1da7082c4857450ed,Reorganize test files,Peter Jihoon Kim,2020-05-15T04:00:02Z
6b53b468272aed62c723fe2f954d586072e71d31,Add pre-commit hook,Peter Jihoon Kim,2020-05-14T20:46:22Z
abfbe606801768b6e4640eb6e5377a96ec4648d1,Upgrade contracts to solidity v0.6.8,Peter Jihoon Kim,2020-05-14T02:31:48Z
3f1c4cf3422bac67ac5f60abf00a0476e46f799c,Set up solhint,Peter Jihoon Kim,2020-05-14T02:28:17Z
58f79be956e8bf017f37f90621b8554af7cc6c10,Add storage slot test to ensure slots are retained,Peter Jihoon Kim,2020-05-14T00:14:06Z
8592ac2ba1e979394c0d57b6545b526363d272b2,Rename mock upgraded contract,Peter Jihoon Kim,2020-05-13T17:39:52Z
3bb13638806215873e9a02f61d4f37462c0d9208,Move V1 tests to test/v1 and fix lint errors,Peter Jihoon Kim,2020-05-13T00:16:45Z
f0480e882a8ad71f8f472b506e629c259acaf8ed,Set up TypeScript,Peter Jihoon Kim,2020-05-13T00:15:48Z
626553f7b0c2916f51e07b9246208d35e5012493,Cleanup migrations,Peter Jihoon Kim,2020-05-12T23:05:46Z
977163012aaa9bf6c34ebac7b84e4694582b9395,Fix lint errors and tests,Peter Jihoon Kim,2020-05-12T23:05:45Z
e7b44a2fa9b3a1016a084305aa19e1a0c11a8031,Setup ESLint,Peter Jihoon Kim,2020-05-12T23:05:44Z
332ab678a9e92fba7420eb74851e5981c0152de5,Remove unused dependencies,Peter Jihoon Kim,2020-05-12T23:05:42Z
7172076a8f478cd5fa53a0dceb42606dc5eda0ce,Fix tests that broke due to Truffle upgrade,Peter Jihoon Kim,2020-05-12T23:05:41Z
9343b154e51d767653450bd986c4b4ea8396d999,Autoformat Markdown files,Peter Jihoon Kim,2020-05-12T23:05:39Z
ac48f00a9ab1e6bcff12cb930053b91caec28e66,Fix solidty-coverage,Peter Jihoon Kim,2020-05-12T23:05:37Z
61c39970b5c862487322c02251e868bf47dc75a7,Update Travis config,Peter Jihoon Kim,2020-05-12T23:05:36Z
20c40535c9b6a28ac7b95c1d65142b21d65ba8bc,Update Dockerfile,Peter Jihoon Kim,2020-05-12T23:05:35Z
9544b9281f35283cf00c7814b8d6e1b3c06a5427,Update npm packages,Peter Jihoon Kim,2020-05-12T23:05:33Z
2e804eaeea5aca0fcaf31536ab975bf5c888d303,Autoformat code using Prettier,Peter Jihoon Kim,2020-05-12T23:05:31Z
835c997ebd1c07b8c125209717c26b45a948bba7,Bump npm from 6.2.0 to 6.13.4 (#292),Oliver Hudson,2020-01-08T14:42:39Z
c6ab104cc3babf8e392b6ae6e36b03f2ee454cc6,Bump npm from 6.2.0 to 6.13.4,dependabot[bot],2020-01-08T14:21:10Z
1d2480657df6d25bd422dba8dbce45852e9b00a9,Bump fstream from 1.0.11 to 1.0.12 (#293),Oliver Hudson,2020-01-08T14:20:33Z
e10eb7d53b5c7238fa16550a258a55cb4e1afd0b,Bump mixin-deep from 1.3.1 to 1.3.2 (#291),Oliver Hudson,2020-01-06T20:05:53Z
1a35eb82d01e2bc4a7c5c8e8ba42b9472dc23433,Bump fstream from 1.0.11 to 1.0.12,dependabot[bot],2020-01-06T20:05:30Z
36b635852c9d8184973eb6401e55d2442972cffa,Bump js-yaml from 3.12.0 to 3.13.1 (#290),Oliver Hudson,2020-01-06T20:04:58Z
4323234c02272fe0d27e104729c47b80a44d48b4,Bump lodash from 4.17.10 to 4.17.13 (#289),Oliver Hudson,2020-01-06T20:04:28Z
e814ee758040ee5a70d40f3ee5e600ddf908f8e2,Bump mixin-deep from 1.3.1 to 1.3.2,dependabot[bot],2020-01-03T18:26:31Z
bf07a17d0e674c202d6d655ad76d725bdd766093,Bump js-yaml from 3.12.0 to 3.13.1,dependabot[bot],2020-01-03T18:26:25Z
2adc0a333e194336b8fb99a854f9ea5d5373e722,Bump lodash from 4.17.10 to 4.17.13,dependabot[bot],2020-01-03T18:26:24Z
dfc2e000c8052984807d2d0aa2df0d5f9ba5a704,Bump handlebars from 4.0.11 to 4.5.3 (#288),Oliver Hudson,2020-01-03T18:25:49Z
db866b786021d549d21525ec4170852097f68e7d,Bump handlebars from 4.0.11 to 4.5.3,dependabot[bot],2019-12-30T18:04:28Z
3ba876b5e96eec6955733e7e008d85f419ec44a5,Merge pull request #286 from dmdque/multi-issuer,Erik Tierney,2019-04-16T20:01:01Z
c6bc95daba61aad36038ef1996463f0502dcf090,Enable syntax highlighting,Daniel Que,2019-04-15T20:23:25Z
d81edc8cbdf2f3a8cc06d77e3d183322325e7638,Merge pull request #284 from eztierney/master-minter-deploy,mirathewhite,2019-04-09T23:23:30Z
d7ad665e679c2e9d4faf5319d7582a7ec24c246c,Fix addresses,Erik Tierney,2019-04-05T17:12:37Z
405091fe66ab11014f089f5fc313143e67a3fac3,Add migration to deploy master minter,Erik Tierney,2019-04-05T14:25:58Z
6a8e480724a1d17dca3eacb0f4b8f376c4532a57,Merge pull request #283 from mirathewhite/e2etests,Erik Tierney,2019-03-25T13:42:15Z
37b18b21fd398a0bcf47fd1a4a5c820276258435,Merge pull request #282 from mirathewhite/eventTests,Erik Tierney,2019-03-25T13:40:18Z
45dc385203cb8616005faa9a65db8fec624e11d7,added e2e tests,mirathewhite,2019-03-25T01:27:13Z
6b10dd4d74720c0b72d21f897b444d74fa8d9d80,added event tests,mirathewhite,2019-03-24T23:10:08Z
af5e89425de19bbe8eb8e8c20fa0d5fa666239be,Merge branch 'multi-issuer' of https://github.com/centrehq/centre-tokens into multi-issuer,mirathewhite,2019-03-22T15:17:27Z
8f06fc9f2aa053ad52ea2a338b2fc207bfa83b19,[Chore] Fix link in tokendesign.md (#279),mirathewhite,2019-03-19T16:35:25Z
f7e063f1a1908879f5ab9ddfd5f62e1f997d9f1e,added copy of MasterMiner code from etherscan (#280),mirathewhite,2019-03-19T16:27:48Z
